id,original,surface,pronunciation,type1,type2,generation,genus,rarity,height_m,weight_kg,evolves_from,description,image,image_page
0,フシギダネ,フシギダネ,フシギダネ,くさ,どく,1,たねポケモン,NA,0.7,6.9,NA,たねポケモン。くさ・どくタイプ。初登場は赤・緑。高さ0.7m、重さ6.9kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_38140a3361.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
1,フシギソウ,フシギソウ,フシギソウ,くさ,どく,1,たねポケモン,NA,1.0,13.0,フシギダネ,たねポケモン。くさ・どくタイプ。初登場は赤・緑。フシギダネから進化。高さ1.0m、重さ13.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_63a11374c7.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
2,フシギバナ,フシギバナ,フシギバナ,くさ,どく,1,たねポケモン,NA,2.0,100.0,フシギソウ,たねポケモン。くさ・どくタイプ。初登場は赤・緑。フシギソウから進化。高さ2.0m、重さ100.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_935ffdc935.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1025,メガフシギバナ,メガフシギバナ,メガフシギバナ,くさ,どく,6,たねポケモン,NA,2.4,155.5,フシギソウ,たねポケモン。くさ・どくタイプ。初登場はX・Y。フシギソウから進化。高さ2.4m、重さ155.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_f7fdcc7a5c.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1026,フシギバナ（キョダイマックスのすがた）,フシギバナ,フシギバナ,くさ,どく,8,たねポケモン,NA,24.0,1000.0,フシギソウ,たねポケモン。くさ・どくタイプ。初登場はソード・シールド。フシギソウから進化。高さ24.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_e22d3afcea.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1026,フシギバナ（キョダイマックスのすがた）,キョダイマックスフシギバナ,キョダイマックスフシギバナ,くさ,どく,8,たねポケモン,NA,24.0,1000.0,フシギソウ,たねポケモン。くさ・どくタイプ。初登場はソード・シールド。フシギソウから進化。高さ24.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_e22d3afcea.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
1026,フシギバナ（キョダイマックスのすがた）,フシギバナ（キョダイマックスのすがた）,フシギバナキョダイマックスのすがた,くさ,どく,8,たねポケモン,NA,24.0,1000.0,フシギソウ,たねポケモン。くさ・どくタイプ。初登場はソード・シールド。フシギソウから進化。高さ24.0m、重さ1000.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_e22d3afcea.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
3,ヒトカゲ,ヒトカゲ,ヒトカゲ,ほのお,NA,1,とかげポケモン,NA,0.6,8.5,NA,とかげポケモン。ほのおタイプ。初登場は赤・緑。高さ0.6m、重さ8.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2b/pkm_f80eed435c.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2b
4,リザード,リザード,リザード,ほのお,NA,1,かえんポケモン,NA,1.1,19.0,ヒトカゲ,かえんポケモン。ほのおタイプ。初登場は赤・緑。ヒトカゲから進化。高さ1.1m、重さ19.0kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_144842755b.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
5,リザードン,リザードン,リザードン,ほのお,ひこう,1,かえんポケモン,NA,1.7,90.5,リザード,かえんポケモン。ほのお・ひこうタイプ。初登場は赤・緑。リザードから進化。高さ1.7m、重さ90.5kg。,https://github.com/soramimic/soramimic-wordlists/releases/download/pokemon-typecard-v2/pkm_192d7d43f3.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/pokemon-typecard-v2
